clean_text,sentiment
sample tweet 109,negative
sample tweet 110,positive
sample tweet 111,positive
sample tweet 112,positive
sample tweet 113,positive
sample tweet 114,negative
sample tweet 115,neutral
sample tweet 116,negative
sample tweet 117,negative
sample tweet 118,negative
sample tweet 119,positive
sample tweet 120,negative
sample tweet 121,positive
sample tweet 122,neutral
sample tweet 123,positive
sample tweet 124,positive
sample tweet 125,neutral
sample tweet 126,negative
sample tweet 127,negative
sample tweet 128,neutral
sample tweet 129,neutral
sample tweet 130,positive
sample tweet 131,negative
sample tweet 132,positive
sample tweet 133,neutral
sample tweet 134,neutral
sample tweet 135,neutral
sample tweet 136,negative
sample tweet 137,positive
sample tweet 138,neutral
sample tweet 139,positive
sample tweet 140,negative
sample tweet 141,neutral
sample tweet 142,negative
sample tweet 143,positive
sample tweet 144,positive
sample tweet 145,positive
sample tweet 146,negative
sample tweet 147,positive
sample tweet 148,negative
sample tweet 149,positive
sample tweet 150,negative
sample tweet 151,neutral
sample tweet 152,neutral
sample tweet 153,positive
sample tweet 154,positive
sample tweet 155,positive
sample tweet 156,positive
sample tweet 157,neutral
sample tweet 158,neutral
sample tweet 159,positive
sample tweet 160,positive
sample tweet 161,negative
sample tweet 162,negative
sample tweet 163,positive
sample tweet 164,neutral
sample tweet 165,positive
sample tweet 166,neutral
sample tweet 167,negative
sample tweet 168,neutral
sample tweet 169,positive
sample tweet 170,negative
sample tweet 171,neutral
sample tweet 172,positive
sample tweet 173,negative
sample tweet 174,positive
sample tweet 175,neutral
sample tweet 176,positive
sample tweet 177,positive
sample tweet 178,negative
sample tweet 179,positive
sample tweet 180,negative
sample tweet 181,positive
sample tweet 182,positive
sample tweet 183,negative
sample tweet 184,negative
sample tweet 185,positive
sample tweet 186,neutral
sample tweet 187,positive
sample tweet 188,neutral
sample tweet 189,neutral
sample tweet 190,neutral
sample tweet 191,positive
sample tweet 192,negative
sample tweet 193,positive
sample tweet 194,negative
sample tweet 195,negative
sample tweet 196,positive
sample tweet 197,positive
sample tweet 198,negative
sample tweet 199,neutral
sample tweet 200,neutral
sample tweet 201,positive
sample tweet 202,positive
sample tweet 203,positive
sample tweet 204,positive
sample tweet 205,negative
sample tweet 206,neutral
sample tweet 207,neutral
sample tweet 208,negative
sample tweet 209,neutral
sample tweet 210,negative
sample tweet 211,positive
sample tweet 212,negative
sample tweet 213,positive
sample tweet 214,positive
sample tweet 215,positive
sample tweet 216,neutral
sample tweet 217,positive
sample tweet 218,neutral
sample tweet 219,neutral
sample tweet 220,neutral
sample tweet 221,positive
sample tweet 222,positive
sample tweet 223,neutral
sample tweet 224,neutral
sample tweet 225,negative
sample tweet 226,positive
sample tweet 227,neutral
sample tweet 228,positive
sample tweet 229,negative
sample tweet 230,positive
sample tweet 231,neutral
sample tweet 232,positive
sample tweet 233,positive
sample tweet 234,positive
sample tweet 235,negative
sample tweet 236,negative
sample tweet 237,neutral
sample tweet 238,negative
sample tweet 239,negative
sample tweet 240,positive
sample tweet 241,positive
sample tweet 242,neutral
sample tweet 243,negative
sample tweet 244,neutral
sample tweet 245,positive
sample tweet 246,positive
sample tweet 247,neutral
sample tweet 248,neutral
sample tweet 249,positive
sample tweet 250,negative
sample tweet 251,neutral
sample tweet 252,neutral
sample tweet 253,positive
sample tweet 254,positive
sample tweet 255,neutral
sample tweet 256,neutral
sample tweet 257,neutral
sample tweet 258,positive
sample tweet 259,positive
sample tweet 260,positive
sample tweet 261,positive
sample tweet 262,positive
sample tweet 263,positive
sample tweet 264,neutral
sample tweet 265,positive
sample tweet 266,negative
sample tweet 267,neutral
sample tweet 268,positive
sample tweet 269,positive
sample tweet 270,positive
sample tweet 271,positive
sample tweet 272,positive
sample tweet 273,positive
sample tweet 274,neutral
sample tweet 275,negative
sample tweet 276,positive
sample tweet 277,positive
sample tweet 278,positive
sample tweet 279,negative
sample tweet 280,positive
sample tweet 281,positive
sample tweet 282,positive
sample tweet 283,negative
sample tweet 284,negative
sample tweet 285,neutral
sample tweet 286,neutral
sample tweet 287,positive
sample tweet 288,positive
sample tweet 289,negative
sample tweet 290,positive
sample tweet 291,positive
sample tweet 292,positive
sample tweet 293,negative
sample tweet 294,neutral
sample tweet 295,neutral
sample tweet 296,positive
sample tweet 297,positive
sample tweet 298,positive
sample tweet 299,positive
sample tweet 300,positive
sample tweet 301,positive
sample tweet 302,positive
sample tweet 303,neutral
sample tweet 304,negative
sample tweet 305,neutral
sample tweet 306,negative
sample tweet 307,positive
sample tweet 308,neutral
sample tweet 309,positive
sample tweet 310,positive
sample tweet 311,neutral
sample tweet 312,negative
sample tweet 313,positive
sample tweet 314,neutral
sample tweet 315,positive
sample tweet 316,positive
sample tweet 317,positive
sample tweet 318,positive
sample tweet 319,neutral
sample tweet 320,positive
sample tweet 321,negative
sample tweet 322,negative
sample tweet 323,positive
sample tweet 324,positive
sample tweet 325,neutral
sample tweet 326,positive
sample tweet 327,negative
sample tweet 328,positive
sample tweet 329,positive
sample tweet 330,positive
sample tweet 331,neutral
sample tweet 332,positive
sample tweet 333,positive
sample tweet 334,positive
sample tweet 335,negative
sample tweet 336,positive
sample tweet 337,positive
sample tweet 338,negative
sample tweet 339,positive
sample tweet 340,positive
sample tweet 341,positive
sample tweet 342,negative
sample tweet 343,positive
sample tweet 344,neutral
sample tweet 345,neutral
sample tweet 346,negative
sample tweet 347,neutral
sample tweet 348,negative
sample tweet 349,positive
sample tweet 350,neutral
sample tweet 351,positive
sample tweet 352,neutral
sample tweet 353,neutral
sample tweet 354,neutral
sample tweet 355,negative
sample tweet 356,neutral
sample tweet 357,neutral
sample tweet 358,positive
sample tweet 359,positive
sample tweet 360,neutral
sample tweet 361,neutral
sample tweet 362,negative
sample tweet 363,neutral
sample tweet 364,neutral
sample tweet 365,negative
sample tweet 366,positive
sample tweet 367,positive
sample tweet 368,positive
sample tweet 369,positive
sample tweet 370,neutral
sample tweet 371,negative
sample tweet 372,neutral
sample tweet 373,negative
sample tweet 374,neutral
sample tweet 375,positive
sample tweet 376,neutral
sample tweet 377,positive
sample tweet 378,negative
sample tweet 379,positive
sample tweet 380,negative
sample tweet 381,negative
sample tweet 382,negative
sample tweet 383,negative
sample tweet 384,positive
sample tweet 385,positive
sample tweet 386,positive
sample tweet 387,positive
sample tweet 388,positive
sample tweet 389,negative
sample tweet 390,neutral
sample tweet 391,negative
sample tweet 392,positive
sample tweet 393,positive
sample tweet 394,positive
sample tweet 395,negative
sample tweet 396,neutral
sample tweet 397,negative
sample tweet 398,positive
sample tweet 399,positive
sample tweet 400,neutral
sample tweet 401,neutral
sample tweet 402,positive
sample tweet 403,neutral
sample tweet 404,negative
sample tweet 405,positive
sample tweet 406,negative
sample tweet 407,neutral
sample tweet 408,neutral
sample tweet 409,neutral
sample tweet 410,negative
sample tweet 411,positive
sample tweet 412,positive
sample tweet 413,neutral
sample tweet 414,neutral
sample tweet 415,positive
sample tweet 416,positive
sample tweet 417,neutral
sample tweet 418,negative
sample tweet 419,negative
sample tweet 420,positive
sample tweet 421,positive
sample tweet 422,positive
sample tweet 423,negative
sample tweet 424,positive
sample tweet 425,positive
sample tweet 426,neutral
sample tweet 427,negative
sample tweet 428,negative
sample tweet 429,neutral
sample tweet 430,negative
sample tweet 431,positive
sample tweet 432,negative
sample tweet 433,negative
sample tweet 434,neutral
sample tweet 435,positive
sample tweet 436,positive
sample tweet 437,negative
sample tweet 438,positive
sample tweet 439,positive
sample tweet 440,neutral
sample tweet 441,positive
sample tweet 442,negative
sample tweet 443,positive
sample tweet 444,negative
sample tweet 445,negative
sample tweet 446,negative
sample tweet 447,positive
sample tweet 448,negative
sample tweet 449,negative
sample tweet 450,negative
sample tweet 451,neutral
sample tweet 452,positive
sample tweet 453,neutral
sample tweet 454,positive
sample tweet 455,positive
sample tweet 456,positive
sample tweet 457,negative
sample tweet 458,neutral
sample tweet 459,negative
sample tweet 460,positive
sample tweet 461,positive
sample tweet 462,negative
sample tweet 463,positive
sample tweet 464,neutral
sample tweet 465,positive
sample tweet 466,neutral
sample tweet 467,positive
sample tweet 468,positive
sample tweet 469,neutral
sample tweet 470,negative
sample tweet 471,positive
sample tweet 472,negative
sample tweet 473,positive
sample tweet 474,positive
sample tweet 475,neutral
sample tweet 476,positive
sample tweet 477,negative
sample tweet 478,positive
sample tweet 479,negative
sample tweet 480,negative
sample tweet 481,positive
sample tweet 482,negative
sample tweet 483,positive
sample tweet 484,positive
sample tweet 485,positive
sample tweet 486,negative
sample tweet 487,neutral
sample tweet 488,negative
sample tweet 489,positive
sample tweet 490,positive
sample tweet 491,neutral
sample tweet 492,positive
sample tweet 493,positive
sample tweet 494,positive
sample tweet 495,negative
sample tweet 496,positive
sample tweet 497,positive
sample tweet 498,neutral
sample tweet 499,neutral
sample tweet 500,positive
sample tweet 501,neutral
sample tweet 502,positive
sample tweet 503,positive
sample tweet 504,positive
sample tweet 505,neutral
sample tweet 506,neutral
sample tweet 507,negative
sample tweet 508,positive
sample tweet 509,positive
sample tweet 510,negative
sample tweet 511,positive
sample tweet 512,neutral
sample tweet 513,negative
sample tweet 514,positive
sample tweet 515,neutral
sample tweet 516,positive
sample tweet 517,negative
sample tweet 518,positive
sample tweet 519,neutral
sample tweet 520,positive
sample tweet 521,positive
sample tweet 522,neutral
sample tweet 523,neutral
sample tweet 524,neutral
sample tweet 525,positive
sample tweet 526,positive
sample tweet 527,neutral
sample tweet 528,positive
sample tweet 529,negative
sample tweet 530,negative
sample tweet 531,neutral
sample tweet 532,neutral
sample tweet 533,positive
sample tweet 534,neutral
sample tweet 535,neutral
sample tweet 536,positive
sample tweet 537,positive
sample tweet 538,positive
sample tweet 539,positive
sample tweet 540,neutral
sample tweet 541,negative
sample tweet 542,positive
sample tweet 543,positive
sample tweet 544,neutral
sample tweet 545,negative
sample tweet 546,neutral
sample tweet 547,positive
sample tweet 548,positive
sample tweet 549,positive
sample tweet 550,positive
sample tweet 551,negative
sample tweet 552,positive
sample tweet 553,neutral
sample tweet 554,positive
sample tweet 555,negative
sample tweet 556,positive
sample tweet 557,neutral
sample tweet 558,positive
sample tweet 559,negative
sample tweet 560,negative
sample tweet 561,positive
sample tweet 562,negative
sample tweet 563,positive
sample tweet 564,negative
sample tweet 565,negative
sample tweet 566,positive
sample tweet 567,negative
sample tweet 568,positive
sample tweet 569,positive
sample tweet 570,negative
sample tweet 571,negative
sample tweet 572,positive
sample tweet 573,neutral
sample tweet 574,negative
sample tweet 575,positive
sample tweet 576,neutral
sample tweet 577,neutral
sample tweet 578,negative
sample tweet 579,positive
sample tweet 580,positive
sample tweet 581,positive
sample tweet 582,neutral
sample tweet 583,neutral
sample tweet 584,positive
sample tweet 585,positive
sample tweet 586,neutral
sample tweet 587,negative
sample tweet 588,neutral
sample tweet 589,negative
sample tweet 590,neutral
sample tweet 591,negative
sample tweet 592,neutral
sample tweet 593,neutral
sample tweet 594,positive
sample tweet 595,neutral
sample tweet 596,neutral
sample tweet 597,positive
sample tweet 598,positive
sample tweet 599,neutral
sample tweet 600,neutral
sample tweet 601,positive
sample tweet 602,neutral
sample tweet 603,positive
sample tweet 604,negative
sample tweet 605,positive
sample tweet 606,neutral
sample tweet 607,neutral
sample tweet 608,neutral
sample tweet 609,positive
sample tweet 610,neutral
sample tweet 611,negative
sample tweet 612,neutral
sample tweet 613,positive
sample tweet 614,negative
sample tweet 615,positive
sample tweet 616,neutral
sample tweet 617,positive
sample tweet 618,positive
sample tweet 619,negative
sample tweet 620,positive
sample tweet 621,negative
sample tweet 622,negative
sample tweet 623,positive
sample tweet 624,negative
sample tweet 625,neutral
sample tweet 626,positive
sample tweet 627,negative
sample tweet 628,positive
sample tweet 629,positive
sample tweet 630,positive
sample tweet 631,negative
sample tweet 632,negative
sample tweet 633,negative
sample tweet 634,neutral
sample tweet 635,negative
sample tweet 636,positive
sample tweet 637,positive
sample tweet 638,neutral
sample tweet 639,negative
sample tweet 640,negative
sample tweet 641,neutral
sample tweet 642,negative
sample tweet 643,negative
sample tweet 644,positive
sample tweet 645,positive
sample tweet 646,positive
sample tweet 647,negative
sample tweet 648,negative
sample tweet 649,negative
sample tweet 650,negative
sample tweet 651,negative
sample tweet 652,neutral
sample tweet 653,positive
sample tweet 654,positive
sample tweet 655,positive
sample tweet 656,neutral
sample tweet 657,positive
sample tweet 658,positive
sample tweet 659,negative
sample tweet 660,negative
sample tweet 661,positive
sample tweet 662,positive
sample tweet 663,positive
sample tweet 664,neutral
sample tweet 665,neutral
sample tweet 666,positive
sample tweet 667,neutral
sample tweet 668,positive
sample tweet 669,negative
sample tweet 670,negative
sample tweet 671,neutral
sample tweet 672,positive
sample tweet 673,positive
sample tweet 674,positive
sample tweet 675,positive
sample tweet 676,neutral
sample tweet 677,positive
sample tweet 678,negative
sample tweet 679,neutral
sample tweet 680,negative
sample tweet 681,neutral
sample tweet 682,negative
sample tweet 683,neutral
sample tweet 684,neutral
sample tweet 685,positive
sample tweet 686,positive
sample tweet 687,positive
sample tweet 688,negative
sample tweet 689,positive
sample tweet 690,positive
sample tweet 691,positive
sample tweet 692,positive
sample tweet 693,neutral
sample tweet 694,positive
sample tweet 695,positive
sample tweet 696,positive
sample tweet 697,positive
sample tweet 698,positive
sample tweet 699,positive
sample tweet 700,negative
sample tweet 701,neutral
sample tweet 702,negative
sample tweet 703,positive
sample tweet 704,negative
sample tweet 705,negative
sample tweet 706,negative
sample tweet 707,positive
sample tweet 708,neutral
sample tweet 709,positive
sample tweet 710,negative
sample tweet 711,neutral
sample tweet 712,neutral
sample tweet 713,positive
sample tweet 714,negative
sample tweet 715,neutral
sample tweet 716,neutral
sample tweet 717,neutral
sample tweet 718,neutral
sample tweet 719,positive
sample tweet 720,neutral
sample tweet 721,neutral
sample tweet 722,neutral
sample tweet 723,positive
sample tweet 724,positive
sample tweet 725,positive
sample tweet 726,positive
sample tweet 727,positive
sample tweet 728,positive
sample tweet 729,positive
sample tweet 730,positive
sample tweet 731,neutral
sample tweet 732,neutral
sample tweet 733,neutral
sample tweet 734,neutral
sample tweet 735,positive
sample tweet 736,negative
sample tweet 737,positive
sample tweet 738,positive
sample tweet 739,positive
sample tweet 740,negative
sample tweet 741,neutral
sample tweet 742,negative
sample tweet 743,negative
sample tweet 744,negative
sample tweet 745,positive
sample tweet 746,negative
sample tweet 747,neutral
sample tweet 748,positive
sample tweet 749,negative
sample tweet 750,neutral
sample tweet 751,positive
sample tweet 752,neutral
sample tweet 753,negative
sample tweet 754,neutral
sample tweet 755,positive
sample tweet 756,positive
sample tweet 757,positive
sample tweet 758,negative
sample tweet 759,positive
sample tweet 760,neutral
sample tweet 761,neutral
sample tweet 762,negative
sample tweet 763,positive
sample tweet 764,neutral
sample tweet 765,negative
sample tweet 766,negative
sample tweet 767,negative
sample tweet 768,negative
sample tweet 769,positive
sample tweet 770,negative
sample tweet 771,negative
sample tweet 772,positive
sample tweet 773,neutral
sample tweet 774,negative
sample tweet 775,positive
sample tweet 776,positive
sample tweet 777,positive
sample tweet 778,negative
sample tweet 779,neutral
sample tweet 780,positive
sample tweet 781,negative
sample tweet 782,positive
sample tweet 783,negative
sample tweet 784,positive
sample tweet 785,neutral
sample tweet 786,positive
sample tweet 787,positive
sample tweet 788,neutral
sample tweet 789,positive
sample tweet 790,neutral
sample tweet 791,positive
sample tweet 792,neutral
sample tweet 793,negative
sample tweet 794,neutral
sample tweet 795,positive
sample tweet 796,positive
sample tweet 797,positive
sample tweet 798,negative
sample tweet 799,positive
sample tweet 800,neutral
sample tweet 801,positive
sample tweet 802,positive
sample tweet 803,negative
sample tweet 804,positive
sample tweet 805,positive
sample tweet 806,negative
sample tweet 807,positive
sample tweet 808,positive
sample tweet 809,positive
sample tweet 810,positive
sample tweet 811,positive
sample tweet 812,neutral
sample tweet 813,negative
sample tweet 814,neutral
sample tweet 815,positive
sample tweet 816,neutral
sample tweet 817,neutral
sample tweet 818,positive
sample tweet 819,neutral
sample tweet 820,positive
sample tweet 821,neutral
sample tweet 822,positive
sample tweet 823,positive
sample tweet 824,positive
sample tweet 825,neutral
sample tweet 826,neutral
sample tweet 827,positive
sample tweet 828,positive
sample tweet 829,negative
sample tweet 830,negative
sample tweet 831,neutral
sample tweet 832,positive
sample tweet 833,positive
sample tweet 834,positive
sample tweet 835,positive
sample tweet 836,positive
sample tweet 837,positive
sample tweet 838,positive
sample tweet 839,positive
sample tweet 840,positive
sample tweet 841,positive
sample tweet 842,neutral
sample tweet 843,negative
sample tweet 844,neutral
sample tweet 845,neutral
sample tweet 846,neutral
sample tweet 847,positive
sample tweet 848,negative
sample tweet 849,positive
sample tweet 850,positive
sample tweet 851,positive
sample tweet 852,positive
sample tweet 853,positive
sample tweet 854,negative
sample tweet 855,positive
sample tweet 856,negative
sample tweet 857,neutral
sample tweet 858,negative
sample tweet 859,positive
sample tweet 860,negative
sample tweet 861,positive
sample tweet 862,negative
sample tweet 863,positive
sample tweet 864,negative
sample tweet 865,neutral
sample tweet 866,neutral
sample tweet 867,positive
sample tweet 868,positive
sample tweet 869,positive
sample tweet 870,positive
sample tweet 871,positive
sample tweet 872,positive
sample tweet 873,neutral
sample tweet 874,negative
sample tweet 875,negative
sample tweet 876,neutral
sample tweet 877,neutral
sample tweet 878,positive
sample tweet 879,positive
sample tweet 880,positive
sample tweet 881,negative
sample tweet 882,positive
sample tweet 883,positive
sample tweet 884,positive
sample tweet 885,positive
sample tweet 886,positive
sample tweet 887,neutral
sample tweet 888,negative
sample tweet 889,neutral
sample tweet 890,neutral
sample tweet 891,positive
sample tweet 892,positive
sample tweet 893,positive
sample tweet 894,positive
sample tweet 895,negative
sample tweet 896,negative
sample tweet 897,negative
sample tweet 898,positive
sample tweet 899,positive
sample tweet 900,positive
sample tweet 901,positive
sample tweet 902,positive
sample tweet 903,neutral
sample tweet 904,positive
sample tweet 905,positive
sample tweet 906,positive
sample tweet 907,neutral
sample tweet 908,neutral
sample tweet 909,neutral
sample tweet 910,neutral
sample tweet 911,neutral
sample tweet 912,positive
sample tweet 913,positive
sample tweet 914,negative
sample tweet 915,positive
sample tweet 916,positive
sample tweet 917,positive
sample tweet 918,negative
sample tweet 919,positive
sample tweet 920,positive
sample tweet 921,negative
sample tweet 922,negative
sample tweet 923,positive
sample tweet 924,neutral
sample tweet 925,positive
sample tweet 926,positive
sample tweet 927,negative
sample tweet 928,positive
sample tweet 929,positive
sample tweet 930,negative
sample tweet 931,negative
sample tweet 932,positive
sample tweet 933,positive
sample tweet 934,positive
sample tweet 935,negative
sample tweet 936,positive
sample tweet 937,positive
sample tweet 938,negative
sample tweet 939,negative
sample tweet 940,positive
sample tweet 941,positive
sample tweet 942,negative
sample tweet 943,neutral
sample tweet 944,positive
sample tweet 945,negative
sample tweet 946,positive
sample tweet 947,neutral
sample tweet 948,negative
sample tweet 949,negative
sample tweet 950,negative
sample tweet 951,negative
sample tweet 952,positive
sample tweet 953,negative
sample tweet 954,positive
sample tweet 955,neutral
sample tweet 956,neutral
sample tweet 957,negative
sample tweet 958,positive
sample tweet 959,negative
sample tweet 960,positive
sample tweet 961,negative
sample tweet 962,neutral
sample tweet 963,positive
sample tweet 964,positive
sample tweet 965,positive
sample tweet 966,neutral
sample tweet 967,negative
sample tweet 968,positive
sample tweet 969,neutral
sample tweet 970,neutral
sample tweet 971,positive
sample tweet 972,negative
sample tweet 973,positive
sample tweet 974,neutral
sample tweet 975,neutral
sample tweet 976,neutral
sample tweet 977,negative
sample tweet 978,positive
sample tweet 979,negative
sample tweet 980,neutral
sample tweet 981,positive
sample tweet 982,positive
sample tweet 983,positive
sample tweet 984,neutral
sample tweet 985,negative
sample tweet 986,negative
sample tweet 987,neutral
sample tweet 988,positive
sample tweet 989,positive
sample tweet 990,positive
sample tweet 991,positive
sample tweet 992,negative
sample tweet 993,neutral
sample tweet 994,negative
sample tweet 995,positive
sample tweet 996,negative
sample tweet 997,negative
sample tweet 998,positive
sample tweet 999,positive
sample tweet 1000,positive
sample tweet 1001,negative
sample tweet 1002,negative
sample tweet 1003,positive
sample tweet 1004,neutral
sample tweet 1005,positive
sample tweet 1006,neutral
sample tweet 1007,positive
sample tweet 1008,negative
sample tweet 1009,negative
sample tweet 1010,negative
sample tweet 1011,negative
sample tweet 1012,positive
sample tweet 1013,positive
sample tweet 1014,positive
sample tweet 1015,negative
sample tweet 1016,neutral
sample tweet 1017,positive
sample tweet 1018,negative
sample tweet 1019,negative
sample tweet 1020,negative
sample tweet 1021,positive
sample tweet 1022,positive
sample tweet 1023,negative
sample tweet 1024,positive
sample tweet 1025,positive
sample tweet 1026,neutral
sample tweet 1027,negative
sample tweet 1028,negative
sample tweet 1029,positive
sample tweet 1030,positive
sample tweet 1031,neutral
sample tweet 1032,neutral
sample tweet 1033,neutral
sample tweet 1034,negative
sample tweet 1035,negative
sample tweet 1036,neutral
sample tweet 1037,negative
sample tweet 1038,negative
sample tweet 1039,positive
sample tweet 1040,negative
sample tweet 1041,negative
sample tweet 1042,positive
sample tweet 1043,positive
sample tweet 1044,positive
sample tweet 1045,neutral
sample tweet 1046,positive
sample tweet 1047,negative
sample tweet 1048,positive
sample tweet 1049,negative
sample tweet 1050,negative
sample tweet 1051,neutral
sample tweet 1052,positive
sample tweet 1053,positive
sample tweet 1054,positive
sample tweet 1055,negative
sample tweet 1056,neutral
sample tweet 1057,neutral
sample tweet 1058,positive
sample tweet 1059,positive
sample tweet 1060,positive
sample tweet 1061,negative
sample tweet 1062,negative
sample tweet 1063,negative
sample tweet 1064,positive
sample tweet 1065,positive
sample tweet 1066,positive
sample tweet 1067,negative
sample tweet 1068,positive
sample tweet 1069,positive
sample tweet 1070,positive
sample tweet 1071,positive
sample tweet 1072,negative
sample tweet 1073,neutral
sample tweet 1074,positive
sample tweet 1075,negative
sample tweet 1076,positive
sample tweet 1077,positive
sample tweet 1078,neutral
sample tweet 1079,positive
sample tweet 1080,positive
sample tweet 1081,positive
sample tweet 1082,positive
sample tweet 1083,neutral
sample tweet 1084,neutral
sample tweet 1085,negative
sample tweet 1086,negative
sample tweet 1087,neutral
sample tweet 1088,positive
sample tweet 1089,positive
sample tweet 1090,positive
sample tweet 1091,positive
sample tweet 1092,positive
sample tweet 1093,negative
sample tweet 1094,negative
sample tweet 1095,neutral
sample tweet 1096,neutral
sample tweet 1097,neutral
sample tweet 1098,positive
sample tweet 1099,negative
sample tweet 1100,positive
sample tweet 1101,positive
sample tweet 1102,negative
sample tweet 1103,positive
sample tweet 1104,positive
sample tweet 1105,positive
sample tweet 1106,positive
sample tweet 1107,negative
sample tweet 1108,neutral
sample tweet 1109,negative
sample tweet 1110,negative
sample tweet 1111,neutral
sample tweet 1112,positive
sample tweet 1113,neutral
sample tweet 1114,negative
sample tweet 1115,positive
sample tweet 1116,positive
sample tweet 1117,positive
sample tweet 1118,positive
sample tweet 1119,neutral
sample tweet 1120,positive
sample tweet 1121,positive
sample tweet 1122,positive
sample tweet 1123,neutral
sample tweet 1124,neutral
sample tweet 1125,positive
sample tweet 1126,negative
sample tweet 1127,negative
sample tweet 1128,positive
sample tweet 1129,neutral
sample tweet 1130,negative
sample tweet 1131,positive
sample tweet 1132,positive
sample tweet 1133,positive
sample tweet 1134,positive
sample tweet 1135,negative
sample tweet 1136,neutral
sample tweet 1137,positive
sample tweet 1138,negative
sample tweet 1139,positive
sample tweet 1140,neutral
sample tweet 1141,positive
sample tweet 1142,neutral
sample tweet 1143,positive
sample tweet 1144,neutral
sample tweet 1145,positive
sample tweet 1146,positive
sample tweet 1147,neutral
sample tweet 1148,negative
sample tweet 1149,positive
sample tweet 1150,positive
sample tweet 1151,neutral
sample tweet 1152,neutral
sample tweet 1153,positive
sample tweet 1154,neutral
sample tweet 1155,neutral
sample tweet 1156,neutral
sample tweet 1157,neutral
sample tweet 1158,neutral
sample tweet 1159,positive
sample tweet 1160,positive
sample tweet 1161,negative
sample tweet 1162,negative
sample tweet 1163,neutral
sample tweet 1164,neutral
sample tweet 1165,positive
sample tweet 1166,positive
sample tweet 1167,positive
sample tweet 1168,positive
sample tweet 1169,neutral
sample tweet 1170,positive
sample tweet 1171,negative
sample tweet 1172,negative
sample tweet 1173,neutral
sample tweet 1174,neutral
sample tweet 1175,positive
sample tweet 1176,positive
sample tweet 1177,positive
sample tweet 1178,positive
sample tweet 1179,negative
sample tweet 1180,neutral
sample tweet 1181,negative
sample tweet 1182,neutral
sample tweet 1183,negative
sample tweet 1184,positive
sample tweet 1185,neutral
sample tweet 1186,positive
sample tweet 1187,positive
sample tweet 1188,positive
sample tweet 1189,positive
sample tweet 1190,positive
sample tweet 1191,neutral
sample tweet 1192,positive
sample tweet 1193,positive
sample tweet 1194,negative
sample tweet 1195,neutral
sample tweet 1196,neutral
sample tweet 1197,positive
sample tweet 1198,positive
sample tweet 1199,negative
sample tweet 1200,positive
sample tweet 1201,positive
sample tweet 1202,negative
sample tweet 1203,negative
sample tweet 1204,neutral
sample tweet 1205,neutral
sample tweet 1206,positive
sample tweet 1207,positive
sample tweet 1208,neutral
sample tweet 1209,positive
sample tweet 1210,positive
sample tweet 1211,positive
sample tweet 1212,positive
sample tweet 1213,neutral
sample tweet 1214,negative
sample tweet 1215,positive
sample tweet 1216,neutral
sample tweet 1217,positive
sample tweet 1218,positive
sample tweet 1219,positive
sample tweet 1220,positive
sample tweet 1221,negative
